,latitude,longitude,유형,이름,시,구,동,최대 매매가(만원),최소 매매가(만원),최대 전세가(만원),최소 전세가(만원),전세가율,실거래년1,실거래월1,실거래가1,실거래년2,실거래월2,실거래가2,실거래년3,실거래월3,실거래가3
0,37.737246,128.974788,아파트,대동,강원도,강릉시,강동면,0,0,0,0,0,2015,2,2990,0,0,0,0,0,0
1,37.774335,128.938383,아파트,견소한신,강원도,강릉시,견소동,33000,18000,19500,11500,0.5909090909090909,2022,9,17700,2022,6,15800,2022,5,16000
2,37.774918,128.939286,아파트,송정해변신도브래뉴,강원도,강릉시,견소동,38000,24800,28000,20000,0.7368421052631579,0,0,0,0,0,0,0,0,0
3,37.765922,128.888342,아파트,강릉교동롯데캐슬1단지,강원도,강릉시,교동,130000,56000,52000,47000,0.4,2023,6,40000,2022,9,28000,2021,2,32000
4,37.767243,128.890027,아파트,강릉교동롯데캐슬2단지,강원도,강릉시,교동,63000,38000,42000,33000,0.6666666666666666,2022,10,49900,2022,8,50000,2021,8,41000
5,37.767808,128.884438,아파트,강릉교동주공1차,강원도,강릉시,교동,42000,20000,20000,17000,0.47619047619047616,2022,5,22000,2022,3,19500,2021,10,18150
6,37.761124,128.889997,아파트,강릉교동풍림아이원,강원도,강릉시,교동,60000,34800,37000,28000,0.6166666666666667,2021,11,32000,2021,8,31000,2021,1,29000
7,37.759391,128.88579,아파트,강릉빌라트,강원도,강릉시,교동,0,0,0,0,0,2021,5,24750,2020,3,21000,2018,11,23000
8,37.765973,128.892388,아파트,강원,강원도,강릉시,교동,0,0,0,0,0,2023,2,9300,2022,12,8300,2022,2,9600
9,37.768241,128.900946,아파트,교동,강원도,강릉시,교동,14000,14000,0,0,0.0,2022,8,9800,2022,5,8500,2022,1,8500
10,37.770429,128.895275,아파트,교동e-편한세상,강원도,강릉시,교동,70000,33000,40000,40000,0.5714285714285714,2023,5,35000,2022,11,40000,2021,12,40200
11,37.771937,128.898369,아파트,교동대림,강원도,강릉시,교동,34000,18000,0,0,0.0,2023,4,17400,2022,12,10000,2022,11,11000
12,37.755802,128.880141,아파트,교동민락,강원도,강릉시,교동,12000,9000,0,0,0.0,2023,2,9000,2022,10,12000,2022,4,10750
13,37.759627,128.885645,아파트,교동정아타워맨션,강원도,강릉시,교동,16000,16000,0,0,0.0,2022,2,14500,2021,9,13800,2021,6,13500
14,37.763497,128.878973,아파트,교동주공3차,강원도,강릉시,교동,33000,25500,24000,20000,0.7272727272727273,2023,6,28900,2023,3,26000,2023,2,25000
15,37.768164,128.89922,아파트,교동한신,강원도,강릉시,교동,33000,20000,25000,13000,0.7575757575757576,2023,6,16900,2023,5,19700,2022,6,25500
16,37.76308,128.880511,아파트,교동현대2차,강원도,강릉시,교동,66000,38000,35000,30000,0.5303030303030303,2023,6,37000,2022,7,46700,2022,4,35150
17,37.76918,128.89472,아파트,대인맨션,강원도,강릉시,교동,20000,19000,17000,16000,0.85,2023,2,14700,2022,2,19000,2021,7,15000
18,37.76325,128.887913,아파트,덕진,강원도,강릉시,교동,8000,8000,7000,7000,0.875,2022,12,6700,2022,8,8500,2022,6,8300
19,37.768758,128.894242,아파트,매화,강원도,강릉시,교동,12500,11000,0,0,0.0,2022,8,12500,2022,5,12100,2022,2,13000
20,37.761902,128.874984,아파트,부영1차,강원도,강릉시,교동,25000,19000,0,0,0.0,2023,5,17700,2023,4,18800,2023,3,17900
21,37.760575,128.874501,아파트,부영3차,강원도,강릉시,교동,45500,29500,26000,25000,0.5714285714285714,2023,7,30000,2022,12,28000,2022,11,32000
22,37.76398,128.882985,아파트,부영5차(로하스),강원도,강릉시,교동,44000,34000,28000,28000,0.6363636363636364,2023,5,35500,2022,10,39000,2022,7,42500
23,37.761564,128.877111,아파트,부영6차,강원도,강릉시,교동,43500,28500,30000,26000,0.6896551724137931,2023,6,28000,2023,4,23000,2022,9,26000
24,37.766395,128.890625,아파트,삼정,강원도,강릉시,교동,0,0,0,0,0,2022,5,17500,2021,6,10500,2021,3,12000
25,37.771622,128.897128,아파트,서일2차,강원도,강릉시,교동,7200,7200,0,0,0.0,2022,8,7000,2022,3,6300,2022,1,5500
26,37.768824,128.895437,아파트,서일맨션,강원도,강릉시,교동,0,0,0,0,0,2019,12,5000,2017,10,7350,2015,3,4000
27,37.768537,128.892902,아파트,서일용궁맨션,강원도,강릉시,교동,0,0,0,0,0,2021,8,10000,2021,3,10500,2021,1,9400
28,37.769005,128.901217,아파트,예성그린1차,강원도,강릉시,교동,13000,7500,0,0,0.0,2022,10,9000,2021,1,3500,2020,2,5500
29,37.768317,128.900436,아파트,예성그린2차,강원도,강릉시,교동,0,0,0,0,0,2018,9,6000,2016,7,4950,2014,5,3800
30,37.760423,128.895594,아파트,오뚜기,강원도,강릉시,교동,0,0,0,0,0,2023,5,4800,2022,5,8400,2021,5,4750
31,37.769558,128.893709,아파트,유화그린맨션,강원도,강릉시,교동,0,0,0,0,0,2021,8,17700,2021,3,17000,2020,11,14400
32,37.768381,128.89412,아파트,이화본동,강원도,강릉시,교동,15000,13000,0,0,0.0,0,0,0,0,0,0,0,0,0
33,37.767518,128.89391,아파트,이화주택,강원도,강릉시,교동,16000,14500,0,0,0.0,0,0,0,0,0,0,0,0,0
34,37.76571,128.890167,아파트,제일,강원도,강릉시,교동,7500,7500,0,0,0.0,2022,10,7400,2021,8,6500,2021,4,6800
35,37.76443,128.88957,아파트,현대,강원도,강릉시,교동,0,0,17000,17000,0,2022,8,14800,2022,6,19000,2022,5,17000
36,37.761055,128.888356,아파트,현대그린,강원도,강릉시,교동,0,0,0,0,0,2020,8,10500,2020,5,10500,2017,11,13000
37,37.765464,128.883456,아파트,현대하이빌,강원도,강릉시,교동,58000,50000,0,0,0.0,2022,10,42500,2022,2,41500,2021,6,36100
38,37.754413,128.898217,아파트,금학상가(주상복합),강원도,강릉시,금학동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,37.749324,128.884989,아파트,삼익그린맨션,강원도,강릉시,남문동,45000,20000,0,0,0.0,2022,11,21000,2022,6,19000,2022,5,19100
40,37.737217,128.879262,아파트,강릉블루밍더베스트,강원도,강릉시,내곡동,0,0,19000,19000,0,2022,3,19193,2022,2,18136,2021,11,16930
41,37.746341,128.892061,아파트,강릉석미모닝파크,강원도,강릉시,내곡동,0,0,0,0,0,2017,9,9000,2016,3,8800,0,0,0
42,37.741053,128.877652,아파트,강부2차,강원도,강릉시,내곡동,9500,5000,5000,5000,0.5263157894736842,2022,8,5800,2022,7,5200,2022,6,4750
43,37.745334,128.889503,아파트,관동2차,강원도,강릉시,내곡동,7500,7500,0,0,0.0,2023,4,7000,2022,8,7700,2022,7,7900
44,37.734819,128.881107,아파트,기산그린타운,강원도,강릉시,내곡동,7000,6200,0,0,0.0,0,0,0,0,0,0,0,0,0
45,37.74398,128.89158,아파트,남산삼익,강원도,강릉시,내곡동,22000,13000,12000,12000,0.5454545454545454,2023,5,9900,2023,3,12500,2023,2,12500
46,37.745328,128.890388,아파트,내곡시영,강원도,강릉시,내곡동,6100,6100,0,0,0.0,2022,7,6300,2022,5,5300,2022,3,6300
47,37.741602,128.879043,아파트,내곡주공,강원도,강릉시,내곡동,14000,9000,6500,6500,0.4642857142857143,2023,5,9000,2023,1,9200,2022,9,9500
48,37.745227,128.883431,아파트,내곡현대,강원도,강릉시,내곡동,32000,21000,0,0,0.0,2023,5,21000,2023,4,17500,2023,3,21200
49,37.741754,128.891083,아파트,삼익타워맨션,강원도,강릉시,내곡동,28000,18000,14000,14000,0.5,2023,7,15000,2022,2,14000,2021,6,14000
50,37.744056,128.881012,아파트,한라,강원도,강릉시,내곡동,28000,17000,16000,13000,0.5714285714285714,2023,7,15500,2023,6,18300,2023,5,17000
51,37.748215,128.899243,아파트,개나리,강원도,강릉시,노암동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,37.743634,128.892717,아파트,고합노암,강원도,강릉시,노암동,11000,6900,7000,7000,0.6363636363636364,2023,5,6600,2022,9,6900,2022,5,5500
53,37.747778,128.89995,아파트,노암대목맨션,강원도,강릉시,노암동,0,0,0,0,0,2022,7,12300,2019,4,5500,2018,8,11400
54,37.74597,128.901879,아파트,노암서일,강원도,강릉시,노암동,6200,6200,0,0,0.0,2023,3,4700,2021,10,4500,2021,8,4700
55,37.748894,128.897739,아파트,노암신화,강원도,강릉시,노암동,28000,14000,0,0,0.0,2023,1,14700,2022,10,12000,2022,7,15800
56,37.744658,128.899151,아파트,노암영진1차,강원도,강릉시,노암동,0,0,0,0,0,2022,5,7300,2022,4,7900,2021,9,6300
57,37.744499,128.898639,아파트,노암영진2차,강원도,강릉시,노암동,0,0,0,0,0,2022,3,5500,2021,7,5000,2018,5,5700
58,37.744676,128.897949,아파트,노암영진3차,강원도,강릉시,노암동,0,0,0,0,0,2022,7,7500,2022,3,8000,2020,3,7000
59,37.745532,128.90614,아파트,노암주공2단지,강원도,강릉시,노암동,15000,9000,9000,7000,0.6,2023,4,9500,2022,3,8950,2021,1,6900
60,37.74515,128.901892,아파트,노암한라1차,강원도,강릉시,노암동,35000,14500,0,0,0.0,2023,3,14700,2023,2,15000,2022,12,13000
61,37.745535,128.900989,아파트,노암한라2차,강원도,강릉시,노암동,19500,15300,0,0,0.0,2021,12,9700,2021,6,9700,2021,3,7000
62,37.74215,128.89324,아파트,노암한라3차,강원도,강릉시,노암동,24000,12500,19000,19000,0.7916666666666666,2023,7,11700,2022,10,12200,2022,9,13000
63,37.742805,128.892775,아파트,노암현대(610),강원도,강릉시,노암동,22000,16900,0,0,0.0,2023,5,17500,2023,4,17800,2023,3,19000
64,37.744442,128.89436,아파트,대림,강원도,강릉시,노암동,0,0,0,0,0,2023,3,6300,2023,2,6600,2022,9,9300
65,37.751475,128.904803,아파트,더힐(도시형),강원도,강릉시,노암동,17500,17500,0,0,0.0,0,0,0,0,0,0,0,0,0
66,37.744047,128.89602,아파트,범아,강원도,강릉시,노암동,12000,6000,0,0,0.0,2022,3,5000,2021,9,5300,2021,1,6000
67,37.751934,128.903188,아파트,양우내안애,강원도,강릉시,노암동,45500,25000,33000,33000,0.7252747252747253,2017,9,15000,2015,5,9000,2010,4,9400
68,37.750519,128.902524,아파트,한일,강원도,강릉시,노암동,0,0,0,0,0,2021,6,3000,0,0,0,0,0,0
69,37.750982,128.905072,아파트,현대(245-5),강원도,강릉시,노암동,17000,17000,0,0,0.0,2022,2,11000,2020,12,11700,2020,8,9800
70,37.840502,128.871656,아파트,플라주메종(도시형),강원도,강릉시,사천면,17200,15000,13000,11000,0.7558139534883721,2023,6,13100,2023,3,12900,2023,2,13500
71,37.751656,128.896901,아파트,동호,강원도,강릉시,성남동,15000,12300,0,0,0.0,0,0,0,0,0,0,0,0,0
72,37.752087,128.896951,아파트,제일자유(주상복합),강원도,강릉시,성남동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,37.773502,128.932947,아파트,강릉송정신원아침도시,강원도,강릉시,송정동,80000,40000,35000,35000,0.4375,2023,5,42000,2022,5,47000,2022,4,45000
74,37.773183,128.927179,아파트,강릉송정한신더휴,강원도,강릉시,송정동,55000,43000,38000,38000,0.6909090909090909,2023,1,42000,2022,11,39500,2022,9,49500
75,37.775309,128.934819,아파트,강릉아이파크,강원도,강릉시,송정동,80000,45000,42000,36000,0.525,2023,7,41000,2023,3,44500,2022,12,43200
76,37.778596,128.934219,아파트,경포대신도브래뉴로얄카운티,강원도,강릉시,송정동,88000,55000,61000,35000,0.6931818181818182,2023,4,50000,2022,8,64000,2022,7,61500
77,37.77001,128.920423,아파트,고려2차,강원도,강릉시,송정동,22000,20800,0,0,0.0,2020,11,13000,2020,6,11100,2019,12,13750
78,37.769476,128.920688,아파트,대림맨션,강원도,강릉시,송정동,23000,20500,0,0,0.0,2021,6,13000,2020,10,11000,2020,8,12100
79,37.776073,128.935023,아파트,비치소라,강원도,강릉시,송정동,15000,15000,13000,13000,0.8666666666666667,2021,8,8000,2021,2,7400,2020,12,6900
80,37.77026,128.921856,아파트,삼우은성맨션,강원도,강릉시,송정동,23000,16500,0,0,0.0,2023,1,17500,2022,10,18800,2022,9,21200
81,37.779072,128.933329,아파트,삼익비치맨션,강원도,강릉시,송정동,33000,25000,20000,18000,0.6060606060606061,2023,1,24000,2022,8,25200,2022,6,24500
82,37.776574,128.931345,아파트,소라B단지,강원도,강릉시,송정동,0,0,0,0,0,2022,11,11000,2017,6,7200,2017,4,7000
83,37.776445,128.930354,아파트,코니스오션송정(도시형),강원도,강릉시,송정동,30000,19370,18000,18000,0.6,0,0,0,0,0,0,0,0,0
84,37.775792,128.936107,아파트,해변소라,강원도,강릉시,송정동,16000,8500,85000,8500,5.3125,2022,11,5700,2020,11,3500,2020,10,3400
85,37.871238,128.839943,아파트,ES프라우드,강원도,강릉시,연곡면,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,37.868351,128.843869,아파트,강릉영진코아루비치테라스(도시형),강원도,강릉시,연곡면,25500,10000,17000,7000,0.6666666666666666,2023,3,12000,2022,7,10400,2022,6,12600
87,37.868152,128.840298,아파트,근화,강원도,강릉시,연곡면,0,0,0,0,0,2023,6,9950,2023,4,10500,2022,9,8900
88,37.870407,128.837419,아파트,동방이스트빌(도시형),강원도,강릉시,연곡면,13000,12000,0,0,0.0,0,0,0,0,0,0,0,0,0
89,37.868665,128.841934,아파트,부영사랑으로1단지,강원도,강릉시,연곡면,20500,17500,15000,15000,0.7317073170731707,2023,6,16000,2023,4,18500,2023,3,18500
90,37.869661,128.841358,아파트,부영사랑으로2단지,강원도,강릉시,연곡면,30000,18000,0,0,0.0,2023,7,17000,2023,6,19000,2023,5,16700
91,37.870658,128.840179,아파트,부영사랑으로3단지,강원도,강릉시,연곡면,39000,25000,28000,25000,0.717948717948718,2023,7,25000,2023,6,28000,2023,5,23000
92,37.867831,128.838624,아파트,삼우그린,강원도,강릉시,연곡면,9800,6000,0,0,0.0,2023,6,7000,2023,5,6500,2023,4,6900
93,37.868589,128.839724,아파트,삼천리,강원도,강릉시,연곡면,0,0,0,0,0,2022,12,8000,2022,1,5000,2021,5,6600
94,37.870682,128.838328,아파트,정우,강원도,강릉시,연곡면,9000,9000,0,0,0.0,2016,5,4400,2015,4,4900,2011,3,3350
95,37.757282,128.901358,아파트,금잔디,강원도,강릉시,옥천동,7000,7000,0,0,0.0,2022,10,4900,2021,3,6000,2020,12,4700
96,37.757116,128.901582,아파트,영진3차,강원도,강릉시,옥천동,0,0,0,0,0,2022,11,10000,2022,9,28000,2021,11,9500
97,37.755062,128.890772,아파트,강릉서부시장,강원도,강릉시,용강동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,37.758964,128.863298,아파트,강릉유천더테라스아리스타,강원도,강릉시,유천동,60000,42000,46000,37000,0.7666666666666667,0,0,0,0,0,0,0,0,0
99,37.759454,128.869021,아파트,강릉유천유승한내들더퍼스트,강원도,강릉시,유천동,90000,59000,63000,40000,0.7,2022,6,71700,2021,11,53000,2021,4,56101
100,37.761928,128.869028,아파트,엘에이치선수촌8단지,강원도,강릉시,유천동,65000,39500,40000,35000,0.6153846153846154,2023,6,40000,2023,5,39000,2023,4,41000
101,37.754824,128.894387,아파트,성호맨션,강원도,강릉시,임당동,18000,18000,0,0,0.0,2015,10,9500,2013,4,6300,0,0,0
102,37.754476,128.89415,아파트,임당상가,강원도,강릉시,임당동,10500,10500,0,0,0.0,2020,5,8500,2020,3,7000,2017,4,6200
103,37.755383,128.911583,아파트,강동2차,강원도,강릉시,입암동,0,0,0,0,0,2023,6,9000,2023,5,8300,2022,9,8800
104,37.755681,128.911587,아파트,강동3차,강원도,강릉시,입암동,11000,8000,0,0,0.0,2023,6,8450,2022,8,9600,2021,9,5700
105,37.75569,128.910892,아파트,강동4차,강원도,강릉시,입암동,0,0,0,0,0,2019,4,2850,2007,12,900,0,0,0
106,37.749757,128.909698,아파트,강릉더샵,강원도,강릉시,입암동,45000,32500,30000,29000,0.6666666666666666,2023,2,30000,2022,7,35500,2021,12,34000
107,37.753711,128.919188,아파트,강릉입암금호어울림,강원도,강릉시,입암동,65000,30000,40000,28000,0.6153846153846154,2023,6,29800,2023,4,28500,0,0,0
108,37.763858,128.917268,아파트,강릉천년가밸로채,강원도,강릉시,입암동,21000,21000,0,0,0.0,0,0,0,0,0,0,0,0,0
109,37.753451,128.906744,아파트,강변,강원도,강릉시,입암동,11000,8500,0,0,0.0,2015,9,4700,2015,5,4900,2015,3,5500
110,37.760742,128.919074,아파트,그린내빌(도시형),강원도,강릉시,입암동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,37.76046,128.919283,아파트,그린내하우스,강원도,강릉시,입암동,27000,27000,0,0,0.0,2023,4,25500,2021,11,22300,0,0,0
112,37.760471,128.916661,아파트,녹원,강원도,강릉시,입암동,17000,15500,0,0,0.0,2023,3,13000,2022,10,13000,2022,5,13300
113,37.754989,128.910518,아파트,대목,강원도,강릉시,입암동,7000,6500,0,0,0.0,0,0,0,0,0,0,0,0,0
114,37.756561,128.911915,아파트,대인3차,강원도,강릉시,입암동,14500,13000,0,0,0.0,2023,6,11300,2023,4,13000,2023,2,13000
115,37.755194,128.906939,아파트,백조,강원도,강릉시,입암동,11000,10300,0,0,0.0,2023,3,8000,2023,2,11000,2022,2,6900
116,37.75987,128.91283,아파트,삼동광업소사원,강원도,강릉시,입암동,8000,7300,0,0,0.0,2022,9,3500,2022,3,6000,2020,12,4870
117,37.761795,128.912047,아파트,삼우그린,강원도,강릉시,입암동,0,0,0,0,0,2023,3,8000,2021,9,5500,2020,6,5600
118,37.761456,128.91395,아파트,에버그린,강원도,강릉시,입암동,20000,14000,0,0,0.0,2023,7,13700,2023,5,13800,2022,12,15500
119,37.760044,128.912389,아파트,우진,강원도,강릉시,입암동,0,0,0,0,0,2020,12,7100,2019,5,6100,2016,10,5800
120,37.760269,128.915772,아파트,은하,강원도,강릉시,입암동,6500,6500,0,0,0.0,2023,6,5800,2023,1,5950,2022,12,6300
121,37.75601,128.921395,아파트,이안강릉타운,강원도,강릉시,입암동,55000,28000,24000,24000,0.43636363636363634,2023,6,28600,2023,5,27000,2023,4,28000
122,37.760637,128.912698,아파트,입암강변코아루오투리움,강원도,강릉시,입암동,35000,29000,27000,26000,0.7714285714285715,2019,7,18572,2018,2,18322,0,0,0
123,37.754403,128.906668,아파트,입암주공1단지,강원도,강릉시,입암동,16500,11000,8500,8000,0.5151515151515151,0,0,0,0,0,0,0,0,0
124,37.764183,128.915527,아파트,입암주공2단지,강원도,강릉시,입암동,13500,11500,10500,7500,0.7777777777777778,2023,5,12500,2023,4,12000,2023,3,11000
125,37.761323,128.915934,아파트,"입암주공4,5단지",강원도,강릉시,입암동,20000,9500,15000,8000,0.75,2023,6,9000,2023,5,9500,2023,3,10900
126,37.757839,128.920181,아파트,입암주공6단지,강원도,강릉시,입암동,21000,12000,17500,12000,0.8333333333333334,2023,7,13000,2023,6,12000,0,0,0
127,37.75245,128.911025,아파트,입암현대,강원도,강릉시,입암동,40000,17000,0,0,0.0,2023,7,16800,2023,6,16000,2023,5,22000
128,37.753987,128.910677,아파트,태경.태우,강원도,강릉시,입암동,5800,5000,0,0,0.0,2023,5,3850,2022,5,4400,2021,11,3300
129,37.756293,128.912808,아파트,태평양,강원도,강릉시,입암동,13000,7000,8000,5000,0.6153846153846154,2022,5,4550,2021,11,4500,2021,3,4400
130,37.802593,128.900319,아파트,경포현대,강원도,강릉시,저동,38000,28000,26000,15750,0.6842105263157895,2023,4,24500,2023,3,26000,2023,2,25000
131,37.892897,128.825766,아파트,강릉주문진풍림아이원하버뷰(주상복합),강원도,강릉시,주문진읍,55000,31000,0,0,0.0,2023,4,29900,2023,3,30500,2022,8,29700
132,37.88785,128.820911,아파트,극동,강원도,강릉시,주문진읍,16000,15000,0,0,0.0,2023,4,13500,2022,10,15500,2022,7,14800
133,37.877698,128.823302,아파트,대일아트,강원도,강릉시,주문진읍,0,0,0,0,0,2023,1,6500,2022,8,6000,2022,3,5700
134,37.8821,128.82929,아파트,동명,강원도,강릉시,주문진읍,8000,8000,0,0,0.0,2014,5,1600,2014,2,3000,2012,4,2000
135,37.875979,128.826736,아파트,동방타워맨션(주상복합),강원도,강릉시,주문진읍,8000,8000,0,0,0.0,2023,4,7300,2022,12,7500,2021,12,5300
136,37.879831,128.82538,아파트,마이티빌리지,강원도,강릉시,주문진읍,26000,19300,20000,20000,0.7692307692307693,0,0,0,0,0,0,0,0,0
137,37.88795,128.827222,아파트,보경(주상복합),강원도,강릉시,주문진읍,0,0,0,0,0,2018,5,10000,2015,10,8300,2015,9,5600
138,37.87912,128.824543,아파트,센텀파크디오션1단지,강원도,강릉시,주문진읍,28000,21000,0,0,0.0,2023,3,17300,2023,1,20000,2022,5,17000
139,37.879485,128.824654,아파트,센텀파크디오션2단지,강원도,강릉시,주문진읍,28000,28000,20000,20000,0.7142857142857143,2022,7,16000,2021,12,14500,2021,10,15000
140,37.879383,128.825614,아파트,소훈1차,강원도,강릉시,주문진읍,0,0,0,0,0,2021,7,5600,2021,5,5200,2018,11,4500
141,37.878039,128.823857,아파트,소훈4차,강원도,강릉시,주문진읍,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,37.8784,128.8259,아파트,소훈5차,강원도,강릉시,주문진읍,11000,11000,0,0,0.0,2023,4,8000,2022,11,8000,2022,6,8300
143,37.881451,128.821181,아파트,신생,강원도,강릉시,주문진읍,10000,8500,0,0,0.0,2022,4,7000,2021,9,5200,2021,3,6700
144,37.883212,128.830635,아파트,엘스테이,강원도,강릉시,주문진읍,48000,48000,0,0,0.0,0,0,0,0,0,0,0,0,0
145,37.892079,128.822507,아파트,우성,강원도,강릉시,주문진읍,0,0,0,0,0,2021,10,5850,2021,8,5000,2021,6,5800
146,37.872047,128.824577,아파트,우신그린피아,강원도,강릉시,주문진읍,12000,7100,0,0,0.0,2023,6,7000,2023,4,7300,0,0,0
147,37.90545,128.82454,아파트,우일해변,강원도,강릉시,주문진읍,0,0,0,0,0,2022,10,17800,2022,7,17100,2022,6,22500
148,37.877949,128.823302,아파트,우진아트,강원도,강릉시,주문진읍,0,0,0,0,0,2023,3,6000,2021,7,6000,2018,8,6500
149,37.880411,128.824239,아파트,유성,강원도,강릉시,주문진읍,7900,7000,0,0,0.0,2021,2,3500,2012,5,3000,2006,9,2000
150,37.8783,128.82665,아파트,정우2차,강원도,강릉시,주문진읍,0,0,0,0,0,2022,9,10000,2021,12,11000,2021,9,9000
151,37.88352,128.82311,아파트,주공1단지,강원도,강릉시,주문진읍,9800,8000,0,0,0.0,2022,12,4900,2022,9,9900,2022,7,9600
152,37.874814,128.828371,아파트,주문진교항주공2단지,강원도,강릉시,주문진읍,15500,12500,9000,9000,0.5806451612903226,2023,7,8500,2023,3,11000,2022,11,8500
153,37.900113,128.831241,아파트,주문진라일플로리스4차(도시형),강원도,강릉시,주문진읍,17000,9600,0,0,0.0,2023,4,10500,2022,9,10000,2022,3,9500
154,37.888707,128.822702,아파트,주문진벽산블루밍오션힐스,강원도,강릉시,주문진읍,40000,33000,30000,20000,0.75,2023,5,26000,2022,11,21360,0,0,0
155,37.891836,128.823537,아파트,주문진삼부르네상스,강원도,강릉시,주문진읍,78000,25000,31000,19800,0.3974358974358974,2023,5,26000,0,0,0,0,0,0
156,37.876328,128.825343,아파트,주문진서희스타힐스,강원도,강릉시,주문진읍,48000,27000,26000,23000,0.5416666666666666,2021,2,18000,2021,1,16550,2020,12,17625
157,37.903661,128.818414,아파트,케이티레파트더블루힐,강원도,강릉시,주문진읍,0,0,16000,16000,0,2023,1,9000,2022,11,9000,2022,1,6500
158,37.894791,128.830698,아파트,현대프라자(주상복합),강원도,강릉시,주문진읍,0,0,0,0,0,2020,5,6200,2016,9,5700,2015,9,5100
159,37.772135,128.876346,아파트,더홈,강원도,강릉시,지변동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,37.778182,128.873085,아파트,덕원,강원도,강릉시,지변동,12000,11000,0,0,0.0,2023,6,6100,2023,4,6500,2022,12,6000
161,37.78507,128.913428,아파트,아트피아,강원도,강릉시,초당동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,37.784142,128.916454,아파트,이화해변,강원도,강릉시,초당동,8000,7000,6000,5000,0.75,2023,6,6500,2023,4,7100,2023,3,5500
163,37.789576,128.912281,아파트,정아,강원도,강릉시,초당동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,37.784071,128.914012,아파트,초당동부,강원도,강릉시,초당동,30000,24500,0,0,0.0,2022,5,20900,2022,4,16000,2022,3,20500
165,37.782963,128.913942,아파트,초당우성,강원도,강릉시,초당동,30000,18500,0,0,0.0,2022,5,15000,2022,2,14000,2021,5,15000
166,37.7861,128.91371,아파트,초당유화1차,강원도,강릉시,초당동,18200,16000,0,0,0.0,2022,9,17900,2022,5,18000,0,0,0
167,37.785411,128.914233,아파트,초당유화2차,강원도,강릉시,초당동,21000,12000,8500,8500,0.40476190476190477,2023,2,11600,2022,9,13100,2022,7,10000
168,37.784975,128.91475,아파트,초당유화3차,강원도,강릉시,초당동,18000,12200,0,0,0.0,2023,5,11000,2023,3,13450,2023,1,15000
169,37.7828,128.915257,아파트,초당청마루,강원도,강릉시,초당동,46000,32000,0,0,0.0,2023,1,41000,2021,10,27100,2021,8,24000
170,37.784201,128.91809,아파트,초당현대,강원도,강릉시,초당동,42500,15500,0,0,0.0,2023,6,17400,2023,5,17400,2022,7,17000
171,37.76633,128.913291,아파트,강동1차,강원도,강릉시,포남동,0,0,0,0,0,2023,4,8750,2021,8,8000,2021,6,7900
172,37.76339,128.908548,아파트,강릉1차,강원도,강릉시,포남동,11000,11000,0,0,0.0,2023,4,11300,2023,3,10400,2022,8,11000
173,37.766651,128.91407,아파트,강릉2차,강원도,강릉시,포남동,0,0,0,0,0,2022,11,9800,2022,10,10300,2022,4,10500
174,37.770183,128.908563,아파트,강릉3차,강원도,강릉시,포남동,10000,8800,0,0,0.0,2023,4,8800,2022,5,8800,2022,4,9000
175,37.767495,128.904252,아파트,강릉5차,강원도,강릉시,포남동,0,0,0,0,0,2022,10,10400,2022,5,10000,2022,4,13000
176,37.767878,128.905981,아파트,강릉6차,강원도,강릉시,포남동,0,0,0,0,0,2023,6,10000,2023,4,8000,2022,6,9500
177,37.769256,128.911912,아파트,강릉7차,강원도,강릉시,포남동,0,0,0,0,0,2023,5,19000,2023,4,23000,2023,3,23000
178,37.766061,128.903239,아파트,강릉역동도센트리움(도시형),강원도,강릉시,포남동,26000,22660,19000,18000,0.7307692307692307,2023,2,20475,2023,1,20985,2022,12,21350
179,37.766015,128.903596,아파트,강릉역동도센트리움(주상복합),강원도,강릉시,포남동,31320,26000,26000,20000,0.8301404853128991,0,0,0,0,0,0,0,0,0
180,37.76432,128.909411,아파트,강부1차,강원도,강릉시,포남동,15000,15000,0,0,0.0,2023,6,14000,2023,5,8300,2022,9,9500
181,37.766592,128.909235,아파트,강부3차,강원도,강릉시,포남동,9300,9300,0,0,0.0,2021,6,6700,2018,2,7800,2017,1,8500
182,37.765058,128.909534,아파트,강부4차,강원도,강릉시,포남동,26000,18500,0,0,0.0,2023,3,18100,2022,4,20600,2020,12,11000
183,37.767978,128.904745,아파트,고려3차,강원도,강릉시,포남동,28000,22500,0,0,0.0,2022,3,20000,2021,7,15000,2021,2,12700
184,37.76935,128.914966,아파트,고려맨션,강원도,강릉시,포남동,19000,19000,0,0,0.0,2022,7,17000,2022,3,15200,2021,8,14000
185,37.772275,128.910592,아파트,대목3차,강원도,강릉시,포남동,11000,11000,0,0,0.0,2022,6,9700,2022,5,9700,2021,12,6400
186,37.764517,128.903858,아파트,대목6차,강원도,강릉시,포남동,0,0,0,0,0,2022,7,17200,2022,4,16000,2017,4,11500
